kd_targets_2021
7
29
40
44
46
63
67
72
75
78
84
86
91
94
97
129
135
139
142
159
167
169
174
176
188
204
207
209
213
232
267
272
311
322
325
339
343
348
352
354
362
367
372
375
379
399
406
412
417
451
470
472
473
481
485
486
510
524
567
577
585
588
589
