Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,Base easting,Base northing,Base elevation,Baseline
78_1,-114.0342932,46.70501464,1042.43,,-114.0342932,46.70501464,1042.43,,,,,2.134,FIX,2021-04-07 15:07:25.2 UTC-06:00,2021-04-07 15:07:25.2 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1382.588
78_2,-114.0341582,46.70407104,1040.88,,-114.0341582,46.70407104,1040.88,,,,,2.134,FIX,2021-04-07 15:11:08.6 UTC-06:00,2021-04-07 15:11:08.6 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1277.345
72_2,-114.0348191,46.70627255,1027.939,,-114.0348191,46.70627255,1027.939,,,,,2.134,FIX,2021-04-07 15:24:12.7 UTC-06:00,2021-04-07 15:24:12.7 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1526.153
72_1,-114.0349183,46.70722957,1014.316,,-114.0349183,46.70722957,1014.316,,,,,2.134,FIX,2021-04-07 15:29:26.1 UTC-06:00,2021-04-07 15:29:26.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1633.317
72_4,-114.0336609,46.70722274,1037.807,,-114.0336609,46.70722274,1037.807,,,,,2.134,FIX,2021-04-07 15:32:58.7 UTC-06:00,2021-04-07 15:32:58.7 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1624.481
72_3,-114.0335298,46.70627186,1051.269,,-114.0335298,46.70627186,1051.269,,,,,2.134,FIX,2021-04-07 15:36:37.3 UTC-06:00,2021-04-07 15:36:37.3 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1518.027
84_1,-114.0141822,46.70742832,1249.35,,-114.0141822,46.70742832,1249.35,,,,,2.134,FIX,2021-04-09 10:54:23.5 UTC-06:00,2021-04-09 10:54:23.5 UTC-06:00,1,-114.0327357,46.69263646,1101.899,2177.489
84_2,-114.0153323,46.70725573,1237.054,,-114.0153323,46.70725573,1237.054,,,,,2.134,FIX,2021-04-09 10:57:55.1 UTC-06:00,2021-04-09 10:57:55.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,2105.516
84_3,-114.0151363,46.70630678,1231.649,,-114.0151363,46.70630678,1231.649,,,,,2.134,FIX,2021-04-09 11:01:48.3 UTC-06:00,2021-04-09 11:01:48.3 UTC-06:00,1,-114.0327357,46.69263646,1101.899,2034.71
84_4,-114.0136354,46.70660494,1244.963,,-114.0136354,46.70660494,1244.963,,,,,2.134,FIX,2021-04-09 11:05:43.9 UTC-06:00,2021-04-09 11:05:43.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,2137.273
92_1,-114.0192608,46.70468757,1165.592,,-114.0192608,46.70468757,1165.592,,,,,2.134,FIX,2021-04-09 11:40:31.7 UTC-06:00,2021-04-09 11:40:31.7 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1691.792
92_2,-114.0205566,46.70466903,1140.867,,-114.0205566,46.70466903,1140.867,,,,,2.134,FIX,2021-04-09 11:43:59.3 UTC-06:00,2021-04-09 11:43:59.3 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1630.786
92_3,-114.0205242,46.70381978,1120.403,,-114.0205242,46.70381978,1120.403,,,,,2.134,FIX,2021-04-09 11:47:24.2 UTC-06:00,2021-04-09 11:47:24.2 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1555.347
92_4,-114.0190547,46.70375644,1139.198,,-114.0190547,46.70375644,1139.198,,,,,2.134,FIX,2021-04-09 11:51:27.4 UTC-06:00,2021-04-09 11:51:27.4 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1620.318
5_1,-114.0155965,46.72492867,1169.837,,-114.0155965,46.72492867,1169.837,,,,,2.134,FIX,2021-04-09 13:55:04.1 UTC-06:00,2021-04-09 13:55:04.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3822.856
5_2,-114.0156885,46.72574308,1163.018,"no base signal, 30 second single collected",-114.0156885,46.72574308,1163.018,0.18,0.246,0.469,0.305,2.134,SINGLE,2021-04-09 13:58:40.0 UTC-06:00,2021-04-09 13:59:09.9 UTC-06:00,150,-114.0327357,46.69263646,1101.899,3905.549
5_3,-114.0169621,46.72581364,1158.116,,-114.0169621,46.72581364,1158.116,,,,,2.734,FIX,2021-04-09 14:03:32.4 UTC-06:00,2021-04-09 14:03:32.4 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3881.505
5_4,-114.0169993,46.72494284,1160.697,,-114.0169993,46.72494284,1160.697,,,,,2.734,FIX,2021-04-09 14:05:17.4 UTC-06:00,2021-04-09 14:05:17.4 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3788.753
20_1,-114.0208162,46.72048546,1160.971,,-114.0208162,46.72048546,1160.971,,,,,2.134,FIX,2021-04-09 14:25:19.0 UTC-06:00,2021-04-09 14:25:19.0 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3228.387
20_2,-114.0221796,46.72042313,1146.395,,-114.0221796,46.72042313,1146.395,,,,,2.134,FIX,2021-04-09 14:29:41.0 UTC-06:00,2021-04-09 14:29:41.0 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3193.55
20_3,-114.0208417,46.71956257,1168.119,,-114.0208417,46.71956257,1168.119,,,,,2.134,FIX,2021-04-09 14:32:25.5 UTC-06:00,2021-04-09 14:32:25.5 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3129.689
20_4,-114.0220296,46.71953686,1154.446,,-114.0220296,46.71953686,1154.446,,,,,2.134,FIX,2021-04-09 14:35:18.0 UTC-06:00,2021-04-09 14:35:18.0 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3101.466
19_1,-114.0237794,46.7188483,1140.894,,-114.0237794,46.7188483,1140.894,,,,,2.134,FIX,2021-04-09 14:51:31.1 UTC-06:00,2021-04-09 14:51:31.1 UTC-06:00,1,-114.0327357,46.69263646,1101.899,2994.063
19_2,-114.0241431,46.72006754,1129.401,,-114.0241431,46.72006754,1129.401,,,,,2.134,FIX,2021-04-09 14:54:22.9 UTC-06:00,2021-04-09 14:54:22.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3120.057
19_3,-114.0248902,46.72012491,1123.085,,-114.0248902,46.72012491,1123.085,,,,,2.134,FIX,2021-04-09 14:56:08.3 UTC-06:00,2021-04-09 14:56:08.3 UTC-06:00,1,-114.0327357,46.69263646,1101.899,3114.728
19_4,-114.0249969,46.71896427,1126.218,,-114.0249969,46.71896427,1126.218,,,,,2.134,FIX,2021-04-09 14:59:02.7 UTC-06:00,2021-04-09 14:59:02.7 UTC-06:00,1,-114.0327357,46.69263646,1101.899,2986.607
55_1,-114.0291595,46.7103978,1076.131,,-114.0291595,46.7103978,1076.131,,,,,2.134,FIX,2021-04-09 15:30:30.9 UTC-06:00,2021-04-09 15:30:30.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1993.773
55_2,-114.029011,46.70935596,1100.994,,-114.029011,46.70935596,1100.994,,,,,2.134,FIX,2021-04-09 15:40:03.8 UTC-06:00,2021-04-09 15:40:03.8 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1880.651
55_3,-114.027765,46.70938667,1118.933,,-114.027765,46.70938667,1118.933,,,,,2.134,FIX,2021-04-09 15:49:18.9 UTC-06:00,2021-04-09 15:49:18.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1900.874
55_4,-114.0279683,46.71033595,1088.272,,-114.0279683,46.71033595,1088.272,,,,,2.134,FIX,2021-04-09 15:54:28.2 UTC-06:00,2021-04-09 15:54:28.2 UTC-06:00,1,-114.0327357,46.69263646,1101.899,2001.438
54_1,-114.0310245,46.70893178,1068.633,,-114.0310245,46.70893178,1068.633,,,,,2.134,FIX,2021-04-09 16:06:01.5 UTC-06:00,2021-04-09 16:06:01.5 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1816.766
54_2,-114.0310879,46.70984736,1055.908,,-114.0310879,46.70984736,1055.908,,,,,2.134,FIX,2021-04-09 16:11:03.8 UTC-06:00,2021-04-09 16:11:03.8 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1918.222
54_3,-114.0324038,46.70990845,1036.562,,-114.0324038,46.70990845,1036.562,,,,,2.134,FIX,2021-04-09 16:17:42.9 UTC-06:00,2021-04-09 16:17:42.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1921.57
54_4,-114.0323752,46.7089396,1041.917,,-114.0323752,46.7089396,1041.917,,,,,2.134,FIX,2021-04-09 16:24:20.7 UTC-06:00,2021-04-09 16:24:20.7 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1813.776
80_1,-114.0279093,46.70497777,1098.632,,-114.0279093,46.70497777,1098.632,,,,,2.134,FIX,2021-04-09 17:10:15.9 UTC-06:00,2021-04-09 17:10:15.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1420.958
80_2,-114.0264574,46.70497713,1112.791,,-114.0264574,46.70497713,1112.791,,,,,2.134,FIX,2021-04-09 17:15:06.7 UTC-06:00,2021-04-09 17:15:06.7 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1453.769
80_3,-114.0266046,46.70587718,1135.705,,-114.0266046,46.70587718,1135.705,,,,,2.134,FIX,2021-04-09 17:21:09.6 UTC-06:00,2021-04-09 17:21:09.6 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1545.482
80_4,-114.0279375,46.70586488,1125.04,,-114.0279375,46.70586488,1125.04,,,,,2.134,FIX,2021-04-09 17:25:49.9 UTC-06:00,2021-04-09 17:25:49.9 UTC-06:00,1,-114.0327357,46.69263646,1101.899,1516.11
