grid_point,long,lat
584,-114.0273653,46.71189068
585,-114.0437809,46.69881641
586,-114.0359581,46.69834387
587,-114.0273162,46.67705958
588,-114.0140128,46.67644288
589,-114.0191436,46.6687468
