Latitude,Longitude,Name,Description,Icon,IconColor,Folder,HideNameUntilMouseOver
46.703698,-114.023374,91,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.704139,-114.020181,92,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.704581,-114.016988,93,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.705022,-114.013795,94,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.705463,-114.010602,95,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.705905,-114.007408,96,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.70061,-114.029121,98,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.701051,-114.025928,99,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.701493,-114.022735,100,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.701934,-114.019542,101,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.702376,-114.016349,102,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.702817,-114.013156,103,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.703258,-114.009963,104,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.699284,-114.038699,107,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.699726,-114.035506,108,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.700168,-114.032314,109,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.700612,-114.012517,110,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.701053,-114.009324,111,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.696195,-114.044445,118,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.696637,-114.041252,119,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.697079,-114.038059,120,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.697521,-114.034867,121,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.697963,-114.031674,122,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.698405,-114.028481,123,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.698846,-114.025289,124,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.699288,-114.022096,125,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.699729,-114.018903,126,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.70017,-114.01571,127,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.694017,-114.047275,132,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.694208,-114.043708,133,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.694432,-114.040612,134,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.694874,-114.03742,135,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.695316,-114.034227,136,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.695758,-114.031034,137,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.696199,-114.027842,138,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
